LN_Ra_,LN_St_,LN_Re_,LN_LbyD_,LN_Fo_,LN_MF_
19.85056914,1.609437912,7.783224016,0,-2.088739104,-5.298317367
19.85056914,1.609437912,7.783224016,0,-1.878363114,-4.605170186
19.85056914,1.609437912,7.783224016,0,-1.742804921,-4.199705078
19.85056914,1.609437912,7.783224016,0,-1.642354076,-3.912023005
19.85056914,1.609437912,7.783224016,0,-1.559958568,-3.688879454
19.85056914,1.609437912,7.783224016,0,-1.489812112,-3.506557897
19.85056914,1.609437912,7.783224016,0,-1.429662335,-3.352407217
19.85056914,1.609437912,7.783224016,0,-1.374995348,-3.218875825
19.85056914,1.609437912,7.783224016,0,-1.323369611,-3.101092789
19.85056914,1.609437912,7.783224016,0,-1.275857138,-2.995732274
19.85056914,1.609437912,7.783224016,0,-1.233239934,-2.900422094
19.85056914,1.609437912,7.783224016,0,-1.194729029,-2.813410717
19.85056914,1.609437912,7.783224016,0,-1.159753861,-2.733368009
19.85056914,1.609437912,7.783224016,0,-1.126555792,-2.659260037
19.85056914,1.609437912,7.783224016,0,-1.094753949,-2.590267165
19.85056914,1.609437912,7.783224016,0,-1.064251909,-2.525728644
19.85056914,1.609437912,7.783224016,0,-1.035428746,-2.465104022
19.85056914,1.609437912,7.783224016,0,-1.009150757,-2.407945609
19.85056914,1.609437912,7.783224016,0,-0.985611467,-2.353878387
19.85056914,1.609437912,7.783224016,0,-0.964419589,-2.302585093
19.85056914,1.609437912,7.783224016,0,-0.944446843,-2.253794929
19.85056914,1.609437912,7.783224016,0,-0.92528231,-2.207274913
19.85056914,1.609437912,7.783224016,0,-0.906546399,-2.162823151
19.85056914,1.609437912,7.783224016,0,-0.888356087,-2.120263536
19.85056914,1.609437912,7.783224016,0,-0.870490761,-2.079441542
19.85056914,1.609437912,7.783224016,0,-0.85293901,-2.040220829
19.85056914,1.609437912,7.783224016,0,-0.835690017,-2.002480501
19.85056914,1.609437912,7.783224016,0,-0.818671012,-1.966112856
19.85056914,1.609437912,7.783224016,0,-0.802059746,-1.931021537
19.85056914,1.609437912,7.783224016,0,-0.785780388,-1.897119985
19.85056914,1.609437912,7.783224016,0,-0.770178511,-1.864330162
19.85056914,1.609437912,7.783224016,0,-0.755461499,-1.832581464
19.85056914,1.609437912,7.783224016,0,-0.74223094,-1.801809805
19.85056914,1.609437912,7.783224016,0,-0.730488446,-1.771956842
19.85056914,1.609437912,7.783224016,0,-0.719504641,-1.742969305
19.85056914,1.609437912,7.783224016,0,-0.709144188,-1.714798428
19.85056914,1.609437912,7.783224016,0,-0.699167236,-1.687399454
19.85056914,1.609437912,7.783224016,0,-0.689618384,-1.660731207
19.85056914,1.609437912,7.783224016,0,-0.680323113,-1.63475572
19.85056914,1.609437912,7.783224016,0,-0.671383113,-1.609437912
19.85056914,1.609437912,7.783224016,0,-0.662629264,-1.5847453
19.85056914,1.609437912,7.783224016,0,-0.654163436,-1.560647748
19.85056914,1.609437912,7.783224016,0,-0.645873835,-1.537117251
19.85056914,1.609437912,7.783224016,0,-0.637756695,-1.514127733
